booking_id,trip_id,route_id,booking_datetime,passengers,fare_per_passenger,total_fare,payment_method,booking_status,channel
BK000001,TR00001,RT001,2024-12-24 08:15:00,2,15.59,31.18,paypal,completed,partner_api
BK000002,TR00001,RT001,2024-12-25 08:15:00,2,11.02,22.04,debit_card,cancelled,mobile_app
BK000003,TR00001,RT001,2024-12-17 08:15:00,1,12.38,12.38,bancontact,completed,partner_api
BK000004,TR00001,RT001,2024-12-27 08:15:00,2,13.36,26.72,paypal,completed,partner_api
BK000005,TR00001,RT001,2024-12-04 08:15:00,4,15.43,61.72,debit_card,completed,website
BK000006,TR00001,RT001,2024-12-26 08:15:00,3,15.34,46.02,ideal,completed,website
BK000007,TR00001,RT001,2024-12-12 08:15:00,1,12.42,12.42,ideal,completed,mobile_app
BK000008,TR00001,RT001,2024-12-02 08:15:00,2,15.42,30.84,ideal,completed,website
BK000009,TR00001,RT001,2024-12-12 08:15:00,1,12.06,12.06,bancontact,cancelled,partner_api
BK000010,TR00001,RT001,2024-12-08 08:15:00,4,13.38,53.52,bancontact,completed,website
BK000011,TR00001,RT001,2024-12-08 08:15:00,1,14.26,14.26,ideal,completed,partner_api
BK000012,TR00001,RT001,2024-12-17 08:15:00,2,14.03,28.06,paypal,completed,mobile_app
BK000013,TR00001,RT001,2024-12-23 08:15:00,1,10.86,10.86,credit_card,completed,partner_api
BK000014,TR00001,RT001,2024-12-03 08:15:00,5,14.56,72.8,debit_card,completed,website
BK000015,TR00002,RT002,2024-12-08 08:00:00,2,16.81,33.62,bancontact,completed,website
BK000016,TR00002,RT002,2024-12-31 08:00:00,1,13.59,13.59,credit_card,completed,mobile_app
BK000017,TR00002,RT002,2024-12-10 08:00:00,1,17.14,17.14,ideal,completed,website
BK000018,TR00002,RT002,2024-12-29 08:00:00,4,17.63,70.52,paypal,no_show,partner_api
BK000019,TR00002,RT002,2024-12-30 08:00:00,3,14.27,42.81,bancontact,completed,website
BK000020,TR00002,RT002,2024-12-25 08:00:00,1,13.54,13.54,bancontact,completed,mobile_app
BK000021,TR00002,RT002,2024-12-05 08:00:00,2,18.82,37.64,debit_card,completed,website
BK000022,TR00002,RT002,2024-12-11 08:00:00,2,16.39,32.78,ideal,completed,mobile_app
BK000023,TR00002,RT002,2024-12-09 08:00:00,1,18.04,18.04,credit_card,completed,mobile_app
BK000024,TR00002,RT002,2024-12-27 08:00:00,3,17.53,52.59,debit_card,completed,website
BK000025,TR00002,RT002,2024-12-13 08:00:00,2,14.31,28.62,ideal,no_show,mobile_app
BK000026,TR00002,RT002,2024-12-12 08:00:00,3,18.14,54.42,bancontact,no_show,partner_api
BK000027,TR00002,RT002,2024-12-13 08:00:00,2,18.92,37.84,bancontact,no_show,website
BK000028,TR00002,RT002,2024-12-19 08:00:00,3,18.52,55.56,credit_card,completed,website
BK000029,TR00003,RT003,2024-12-11 08:00:00,2,17.24,34.48,ideal,no_show,partner_api
BK000030,TR00003,RT003,2024-12-15 08:00:00,2,15.22,30.44,paypal,completed,mobile_app
BK000031,TR00003,RT003,2024-12-02 08:00:00,1,20.3,20.3,paypal,completed,website
BK000032,TR00003,RT003,2024-12-22 08:00:00,2,20.53,41.06,credit_card,completed,partner_api
BK000033,TR00003,RT003,2024-12-29 08:00:00,1,16.18,16.18,ideal,completed,partner_api
BK000034,TR00003,RT003,2024-12-28 08:00:00,3,20.96,62.88,ideal,completed,mobile_app
BK000035,TR00003,RT003,2024-12-29 08:00:00,2,19.36,38.72,paypal,completed,website
BK000036,TR00003,RT003,2024-12-13 08:00:00,1,15.11,15.11,debit_card,completed,website
BK000037,TR00003,RT003,2024-12-12 08:00:00,1,17.0,17.0,bancontact,completed,partner_api
BK000038,TR00003,RT003,2024-12-15 08:00:00,3,18.97,56.91,debit_card,completed,mobile_app
BK000039,TR00003,RT003,2024-12-26 08:00:00,1,16.73,16.73,paypal,completed,mobile_app
BK000040,TR00003,RT003,2024-12-12 08:00:00,1,16.64,16.64,paypal,completed,mobile_app
BK000041,TR00004,RT004,2024-12-14 08:45:00,2,16.69,33.38,debit_card,completed,website
BK000042,TR00004,RT004,2024-12-03 08:45:00,2,13.99,27.98,ideal,completed,mobile_app
BK000043,TR00004,RT004,2024-12-12 08:45:00,2,19.08,38.16,ideal,completed,partner_api
BK000044,TR00004,RT004,2024-12-14 08:45:00,1,20.09,20.09,paypal,completed,website
BK000045,TR00004,RT004,2024-12-10 08:45:00,2,15.22,30.44,bancontact,completed,partner_api
BK000046,TR00004,RT004,2024-12-19 08:45:00,2,15.43,30.86,paypal,completed,website
BK000047,TR00004,RT004,2024-12-06 08:45:00,3,14.04,42.12,credit_card,completed,mobile_app
BK000048,TR00004,RT004,2024-12-08 08:45:00,2,18.82,37.64,credit_card,completed,mobile_app
BK000049,TR00004,RT004,2024-12-23 08:45:00,2,16.75,33.5,bancontact,completed,mobile_app
BK000050,TR00005,RT005,2024-12-10 06:30:00,3,27.9,83.7,ideal,completed,website
BK000051,TR00005,RT005,2024-12-31 06:30:00,3,35.37,106.11,credit_card,completed,partner_api
BK000052,TR00006,RT005,2024-12-31 14:45:00,1,35.47,35.47,paypal,completed,mobile_app
BK000053,TR00006,RT005,2024-12-31 14:45:00,1,28.26,28.26,debit_card,cancelled,partner_api
BK000054,TR00007,RT006,2024-12-27 08:45:00,5,11.7,58.5,bancontact,completed,website
BK000055,TR00007,RT006,2024-12-19 08:45:00,3,11.15,33.45,credit_card,completed,website
BK000056,TR00007,RT006,2024-12-14 08:45:00,2,12.62,25.24,paypal,completed,partner_api
BK000057,TR00007,RT006,2024-12-10 08:45:00,5,11.85,59.25,bancontact,completed,website
BK000058,TR00007,RT006,2024-12-12 08:45:00,1,9.95,9.95,credit_card,completed,mobile_app
BK000059,TR00007,RT006,2024-12-12 08:45:00,1,10.47,10.47,debit_card,completed,partner_api
BK000060,TR00007,RT006,2024-12-27 08:45:00,1,11.74,11.74,debit_card,completed,partner_api
BK000061,TR00007,RT006,2024-12-04 08:45:00,5,9.85,49.25,bancontact,completed,website
BK000062,TR00007,RT006,2024-12-16 08:45:00,3,12.28,36.84,bancontact,completed,partner_api
BK000063,TR00008,RT007,2024-12-12 06:30:00,2,32.15,64.3,credit_card,completed,partner_api
BK000064,TR00008,RT007,2024-12-05 06:30:00,3,22.29,66.87,paypal,completed,website
BK000065,TR00008,RT007,2024-12-04 06:30:00,1,23.5,23.5,ideal,completed,mobile_app
BK000066,TR00009,RT007,2024-12-14 14:15:00,2,23.22,46.44,paypal,refunded,partner_api
BK000067,TR00010,RT008,2024-12-19 06:45:00,1,10.16,10.16,credit_card,completed,website
BK000068,TR00010,RT008,2024-12-22 06:45:00,2,11.35,22.7,debit_card,cancelled,website
BK000069,TR00010,RT008,2024-12-03 06:45:00,1,10.47,10.47,credit_card,completed,mobile_app
BK000070,TR00010,RT008,2024-12-09 06:45:00,2,10.7,21.4,ideal,completed,partner_api
BK000071,TR00010,RT008,2024-12-04 06:45:00,3,13.26,39.78,debit_card,completed,partner_api
BK000072,TR00010,RT008,2024-12-07 06:45:00,4,9.75,39.0,ideal,completed,partner_api
BK000073,TR00010,RT008,2024-12-21 06:45:00,1,12.41,12.41,bancontact,completed,mobile_app
BK000074,TR00010,RT008,2024-12-06 06:45:00,2,13.27,26.54,ideal,completed,website
BK000075,TR00010,RT008,2024-12-21 06:45:00,4,10.24,40.96,bancontact,completed,mobile_app
BK000076,TR00010,RT008,2024-12-31 06:45:00,5,11.15,55.75,ideal,completed,website
BK000077,TR00011,RT008,2024-12-27 14:30:00,3,10.84,32.52,bancontact,completed,mobile_app
BK000078,TR00011,RT008,2024-12-15 14:30:00,1,13.84,13.84,paypal,completed,website
BK000079,TR00011,RT008,2024-12-19 14:30:00,2,9.56,19.12,credit_card,completed,mobile_app
BK000080,TR00011,RT008,2024-12-03 14:30:00,1,12.97,12.97,ideal,completed,mobile_app
BK000081,TR00011,RT008,2024-12-13 14:30:00,4,12.44,49.76,debit_card,completed,partner_api
BK000082,TR00011,RT008,2024-12-26 14:30:00,1,9.94,9.94,debit_card,completed,partner_api
BK000083,TR00011,RT008,2024-12-31 14:30:00,1,11.16,11.16,paypal,completed,website
BK000084,TR00011,RT008,2024-12-17 14:30:00,3,13.15,39.45,bancontact,completed,mobile_app
BK000085,TR00011,RT008,2024-12-04 14:30:00,2,11.17,22.34,debit_card,completed,mobile_app
BK000086,TR00012,RT009,2024-12-14 08:45:00,1,15.26,15.26,debit_card,completed,mobile_app
BK000087,TR00012,RT009,2024-12-16 08:45:00,2,16.42,32.84,paypal,no_show,mobile_app
BK000088,TR00012,RT009,2024-12-13 08:45:00,4,17.44,69.76,credit_card,no_show,mobile_app
BK000089,TR00012,RT009,2024-12-12 08:45:00,1,14.86,14.86,paypal,completed,mobile_app
