incident_id,trip_id,route_id,delay_category,delay_minutes,impact_level,reported_at,resolved_at,is_cascading,affected_passengers
DI00001,TR00016,RT003,weather_conditions,5,low,2024-01-01 10:04:00,2024-01-01 12:03:00,false,19
DI00002,TR00017,RT003,traffic_congestion,7,low,2024-01-01 14:01:00,2024-01-01 14:11:00,false,35
DI00003,TR00030,RT006,traffic_congestion,21,high,2024-01-01 17:56:00,2024-01-01 18:23:00,false,17
DI00004,TR00039,RT008,weather_conditions,25,high,2024-01-01 19:20:00,2024-01-01 20:07:00,false,28
DI00005,TR00057,RT002,operational_handover,12,medium,2024-01-02 11:12:00,2024-01-02 11:20:00,false,24
DI00006,TR00058,RT002,passenger_boarding,5,low,2024-01-02 13:58:00,2024-01-02 14:06:00,false,24
DI00007,TR00068,RT004,operational_handover,5,low,2024-01-02 15:25:00,2024-01-02 15:32:00,false,24
DI00008,TR00069,RT004,traffic_congestion,5,low,2024-01-02 18:49:00,2024-01-02 19:18:00,false,24
DI00009,TR00077,RT007,operational_handover,10,low,2024-01-02 05:56:00,2024-01-02 06:01:00,false,5
DI00010,TR00087,RT009,operational_handover,22,high,2024-01-02 11:14:00,2024-01-02 11:25:00,true,19
DI00011,TR00093,RT001,traffic_congestion,23,high,2024-01-03 05:59:00,2024-01-03 06:24:00,false,32
DI00012,TR00096,RT001,mechanical_issue,5,low,2024-01-03 11:57:00,2024-01-03 13:27:00,false,27
DI00013,TR00103,RT002,traffic_congestion,11,medium,2024-01-03 11:12:00,2024-01-03 11:29:00,false,22
DI00014,TR00108,RT003,traffic_congestion,14,medium,2024-01-03 09:57:00,2024-01-03 10:19:00,false,17
DI00015,TR00114,RT004,traffic_congestion,13,medium,2024-01-03 15:35:00,2024-01-03 15:56:00,false,28
DI00016,TR00138,RT010,traffic_congestion,24,high,2024-01-03 17:57:00,2024-01-03 18:20:00,false,5
DI00017,TR00149,RT002,passenger_boarding,10,low,2024-01-04 11:12:00,2024-01-04 11:22:00,false,32
DI00018,TR00150,RT002,weather_conditions,28,high,2024-01-04 13:55:00,2024-01-04 15:15:00,false,34
DI00019,TR00152,RT002,traffic_congestion,9,low,2024-01-04 19:11:00,2024-01-04 19:31:00,false,17
DI00020,TR00155,RT003,traffic_congestion,10,low,2024-01-04 13:55:00,2024-01-04 14:07:00,false,21
DI00021,TR00160,RT004,weather_conditions,26,high,2024-01-04 15:31:00,2024-01-04 16:58:00,false,19
DI00022,TR00165,RT006,mechanical_issue,49,critical,2024-01-04 05:55:00,2024-01-04 07:12:00,false,18
DI00023,TR00179,RT009,traffic_congestion,15,medium,2024-01-04 11:13:00,2024-01-04 11:38:00,true,28
DI00024,TR00195,RT002,traffic_congestion,11,medium,2024-01-05 11:11:00,2024-01-05 11:21:00,false,20
DI00025,TR00199,RT003,traffic_congestion,14,medium,2024-01-05 06:00:00,2024-01-05 06:23:00,false,23
DI00026,TR00207,RT004,traffic_congestion,6,low,2024-01-05 18:47:00,2024-01-05 19:09:00,false,16
DI00027,TR00213,RT006,weather_conditions,18,medium,2024-01-05 13:57:00,2024-01-05 15:23:00,true,17
DI00028,TR00220,RT008,traffic_congestion,6,low,2024-01-05 11:19:00,2024-01-05 11:48:00,false,28
DI00029,TR00221,RT008,traffic_congestion,31,high,2024-01-05 14:01:00,2024-01-05 14:19:00,false,20
DI00030,TR00225,RT009,traffic_congestion,11,medium,2024-01-05 11:19:00,2024-01-05 11:37:00,false,25
DI00031,TR00237,RT001,traffic_congestion,5,low,2024-01-06 18:03:00,2024-01-06 18:28:00,false,35
DI00032,TR00252,RT004,passenger_boarding,8,low,2024-01-06 15:35:00,2024-01-06 15:45:00,false,24
DI00033,TR00253,RT004,operational_handover,12,medium,2024-01-06 18:48:00,2024-01-06 19:08:00,true,24
DI00034,TR00279,RT001,passenger_boarding,5,low,2024-01-07 09:55:00,2024-01-07 09:58:00,false,29
DI00035,TR00293,RT003,mechanical_issue,17,medium,2024-01-07 13:59:00,2024-01-07 14:58:00,false,27
DI00036,TR00294,RT003,weather_conditions,29,high,2024-01-07 17:57:00,2024-01-07 19:38:00,false,18
DI00037,TR00306,RT006,passenger_boarding,5,low,2024-01-07 17:55:00,2024-01-07 18:03:00,false,16
DI00038,TR00316,RT009,traffic_congestion,25,high,2024-01-07 05:56:00,2024-01-07 06:09:00,true,32
DI00039,TR00317,RT009,road_closure,35,high,2024-01-07 11:12:00,2024-01-07 11:40:00,false,26
DI00040,TR00333,RT002,road_closure,31,high,2024-01-08 11:15:00,2024-01-08 11:47:00,false,29
DI00041,TR00338,RT003,passenger_boarding,6,low,2024-01-08 09:56:00,2024-01-08 10:03:00,false,19
DI00042,TR00339,RT003,traffic_congestion,5,low,2024-01-08 13:57:00,2024-01-08 14:25:00,true,23
DI00043,TR00349,RT006,mechanical_issue,32,high,2024-01-08 05:57:00,2024-01-08 07:05:00,false,28
DI00044,TR00366,RT010,road_closure,17,medium,2024-01-08 10:04:00,2024-01-08 10:37:00,false,4
DI00045,TR00382,RT002,traffic_congestion,11,medium,2024-01-09 19:15:00,2024-01-09 19:45:00,false,21
DI00046,TR00385,RT003,traffic_congestion,5,low,2024-01-09 14:03:00,2024-01-09 14:27:00,false,31
DI00047,TR00390,RT004,traffic_congestion,15,medium,2024-01-09 15:28:00,2024-01-09 15:45:00,false,30
DI00048,TR00409,RT009,weather_conditions,13,medium,2024-01-09 11:12:00,2024-01-09 12:14:00,false,24
DI00049,TR00429,RT003,weather_conditions,19,medium,2024-01-10 05:57:00,2024-01-10 07:15:00,false,19
