scheduled_trip_id,trip_id,route_id,vehicle_id,scheduled_departure_at,scheduled_arrival_at,service_type,schedule_version
ST00001,TR00001,RT001,VH001,2025-01-01 08:00:00,2025-01-01 09:14:00,express,2024-Q4
ST00002,TR00002,RT002,VH017,2025-01-01 08:45:00,2025-01-01 09:56:00,express,2024-Q4
ST00003,TR00003,RT003,VH004,2025-01-01 06:00:00,2025-01-01 08:23:00,regular,2025-Q2
ST00004,TR00004,RT004,VH009,2025-01-01 09:15:00,2025-01-01 10:56:00,regular,2025-Q2
ST00005,TR00005,RT005,VH012,2025-01-01 06:00:00,2025-01-01 07:15:00,peak_hour,2024-Q4
ST00006,TR00006,RT005,VH013,2025-01-01 16:45:00,2025-01-01 18:00:00,regular,2024-Q4
ST00007,TR00007,RT006,VH005,2025-01-01 10:00:00,2025-01-01 11:45:00,regular,2024-Q4
ST00008,TR00008,RT007,VH011,2025-01-01 06:00:00,2025-01-01 07:02:00,regular,2025-Q2
ST00009,TR00009,RT007,VH011,2025-01-01 14:15:00,2025-01-01 15:17:00,regular,2024-Q4
ST00010,TR00010,RT008,VH002,2025-01-01 06:00:00,2025-01-01 06:53:00,express,2025-Q2
ST00011,TR00011,RT008,VH006,2025-01-01 14:00:00,2025-01-01 14:53:00,regular,2024-Q4
ST00012,TR00012,RT009,VH017,2025-01-01 08:45:00,2025-01-01 10:38:00,regular,2025-Q1
ST00013,TR00013,RT010,VH018,2025-01-01 06:00:00,2025-01-01 06:39:00,peak_hour,2024-Q4
ST00014,TR00014,RT010,VH011,2025-01-01 14:00:00,2025-01-01 14:39:00,express,2024-Q4
ST00015,TR00015,RT001,VH010,2025-01-02 06:00:00,2025-01-02 07:14:00,express,2025-Q1
ST00016,TR00016,RT001,VH007,2025-01-02 14:00:00,2025-01-02 15:14:00,regular,2024-Q4
ST00017,TR00017,RT002,VH009,2025-01-02 08:45:00,2025-01-02 09:56:00,peak_hour,2025-Q1
ST00018,TR00018,RT003,VH003,2025-01-02 06:00:00,2025-01-02 08:23:00,regular,2025-Q1
ST00019,TR00019,RT004,VH003,2025-01-02 09:15:00,2025-01-02 10:56:00,regular,2025-Q1
ST00020,TR00020,RT005,VH014,2025-01-02 06:00:00,2025-01-02 07:15:00,express,2024-Q4
ST00021,TR00021,RT006,VH005,2025-01-02 10:00:00,2025-01-02 11:45:00,express,2025-Q2
ST00022,TR00022,RT007,VH011,2025-01-02 08:30:00,2025-01-02 09:32:00,regular,2025-Q1
ST00023,TR00023,RT008,VH002,2025-01-02 08:45:00,2025-01-02 09:38:00,regular,2025-Q1
ST00024,TR00024,RT009,VH003,2025-01-02 06:00:00,2025-01-02 07:53:00,peak_hour,2025-Q2
ST00025,TR00025,RT010,VH013,2025-01-02 10:00:00,2025-01-02 10:39:00,peak_hour,2025-Q1
ST00026,TR00026,RT001,VH002,2025-01-03 06:00:00,2025-01-03 07:14:00,regular,2025-Q2
ST00027,TR00027,RT001,VH009,2025-01-03 14:00:00,2025-01-03 15:14:00,regular,2025-Q2
ST00028,TR00028,RT002,VH009,2025-01-03 08:45:00,2025-01-03 09:56:00,regular,2025-Q1
ST00029,TR00029,RT003,VH017,2025-01-03 06:00:00,2025-01-03 08:23:00,peak_hour,2024-Q4
ST00030,TR00030,RT003,VH016,2025-01-03 14:00:00,2025-01-03 16:23:00,peak_hour,2025-Q1
