trip_id,route_id,vehicle_id,departure_datetime,arrival_datetime,vehicle_capacity,passengers_onboard,trip_status
TR00001,RT001,VH016,2024-01-01 06:05:00,2024-01-01 07:07:00,55,25,completed
TR00002,RT001,VH007,2024-01-01 08:03:00,2024-01-01 09:21:00,40,21,completed
TR00003,RT001,VH008,2024-01-01 10:10:00,2024-01-01 11:29:00,40,19,completed
TR00004,RT001,VH002,2024-01-01 12:06:00,2024-01-01 13:23:00,55,25,completed
TR00005,RT001,VH002,2024-01-01 14:00:00,2024-01-01 15:11:00,55,33,completed
TR00006,RT001,VH002,2024-01-01 16:04:00,2024-01-01 17:26:00,55,29,completed
TR00007,RT001,VH007,2024-01-01 18:03:00,2024-01-01 19:27:00,40,23,completed
TR00008,RT001,VH002,2024-01-01 20:04:00,2024-01-01 21:05:00,55,34,completed
TR00009,RT002,VH004,2024-01-01 06:02:00,2024-01-01 07:05:00,49,22,completed
TR00010,RT002,VH004,2024-01-01 08:43:00,2024-01-01 09:46:00,49,33,completed
TR00011,RT002,VH003,2024-01-01 11:23:00,2024-01-01 12:24:00,49,30,completed
TR00012,RT002,VH010,2024-01-01 13:50:00,2024-01-01 15:10:00,49,32,completed
TR00013,RT002,VH017,2024-01-01 16:40:00,2024-01-01 17:55:00,49,28,completed
TR00014,RT002,VH004,2024-01-01 19:20:00,2024-01-01 20:37:00,49,21,completed
TR00015,RT003,VH005,2024-01-01 06:04:00,2024-01-01 08:13:00,45,21,completed
TR00016,RT003,VH005,2024-01-01 10:09:00,2024-01-01 12:42:00,45,19,completed
TR00017,RT003,VH004,2024-01-01 14:09:00,2024-01-01 16:17:00,49,35,completed
TR00018,RT003,VH004,2024-01-01 18:04:00,2024-01-01 20:39:00,49,29,completed
TR00019,RT004,VH009,2024-01-01 05:54:00,2024-01-01 07:24:00,40,22,completed
TR00020,RT004,VH009,2024-01-01 09:04:00,2024-01-01 10:25:00,40,13,completed
TR00021,RT004,VH009,2024-01-01 12:18:00,2024-01-01 13:52:00,40,18,completed
TR00022,RT004,VH005,2024-01-01 15:28:00,2024-01-01 16:53:00,45,19,completed
TR00023,RT004,VH005,2024-01-01 18:52:00,2024-01-01 20:32:00,45,24,completed
TR00024,RT005,VH013,2024-01-01 06:03:00,2024-01-01 07:19:00,8,3,completed
TR00025,RT005,VH013,2024-01-01 11:12:00,2024-01-01 12:18:00,8,3,completed
TR00026,RT005,VH013,2024-01-01 16:38:00,2024-01-01 17:51:00,8,3,completed
TR00027,RT006,VH003,2024-01-01 05:56:00,2024-01-01 07:47:00,49,26,completed
TR00028,RT006,VH009,2024-01-01 09:57:00,2024-01-01 11:30:00,40,27,completed
TR00029,RT006,VH009,2024-01-01 13:51:00,2024-01-01 15:34:00,40,21,completed
TR00030,RT006,VH003,2024-01-01 18:10:00,2024-01-01 19:34:00,49,17,completed
TR00031,RT007,VH012,2024-01-01 05:54:00,2024-01-01 07:04:00,12,8,completed
TR00032,RT007,VH014,2024-01-01 11:29:00,2024-01-01 12:38:00,8,3,completed
TR00033,RT007,VH014,2024-01-01 16:45:00,2024-01-01 17:46:00,8,3,completed
TR00034,RT008,VH001,2024-01-01 05:52:00,2024-01-01 06:36:00,55,35,completed
TR00035,RT008,VH001,2024-01-01 08:49:00,2024-01-01 09:41:00,55,31,completed
TR00036,RT008,VH016,2024-01-01 11:27:00,2024-01-01 12:12:00,55,18,completed
TR00037,RT008,VH001,2024-01-01 13:58:00,2024-01-01 14:40:00,55,20,completed
TR00038,RT008,VH002,2024-01-01 16:49:00,2024-01-01 17:43:00,55,30,completed
TR00039,RT008,VH002,2024-01-01 19:30:00,2024-01-01 20:15:00,55,28,completed
TR00040,RT009,VH002,2024-01-01 05:58:00,2024-01-01 07:55:00,55,27,completed
TR00041,RT009,VH006,2024-01-01 11:16:00,2024-01-01 13:00:00,45,30,completed
TR00042,RT009,VH005,2024-01-01 16:49:00,2024-01-01 18:45:00,45,18,completed
TR00043,RT010,VH013,2024-01-01 06:02:00,2024-01-01 06:35:00,8,3,completed
TR00044,RT010,VH011,2024-01-01 09:50:00,2024-01-01 10:22:00,12,7,completed
TR00045,RT010,VH011,2024-01-01 14:06:00,2024-01-01 14:42:00,12,5,completed
TR00046,RT010,VH011,2024-01-01 18:04:00,2024-01-01 18:42:00,12,6,completed
TR00047,RT001,VH016,2024-01-02 05:50:00,2024-01-02 07:01:00,55,39,completed
TR00048,RT001,VH002,2024-01-02 07:58:00,2024-01-02 09:13:00,55,23,completed
TR00049,RT001,VH008,2024-01-02 09:53:00,2024-01-02 11:13:00,40,14,completed
TR00050,RT001,VH007,2024-01-02 11:54:00,2024-01-02 12:56:00,40,18,completed
TR00051,RT001,VH007,2024-01-02 13:58:00,2024-01-02 15:09:00,40,26,completed
TR00052,RT001,VH016,2024-01-02 16:03:00,2024-01-02 17:26:00,55,25,completed
TR00053,RT001,VH001,2024-01-02 17:51:00,2024-01-02 19:09:00,55,26,completed
TR00054,RT001,VH016,2024-01-02 20:10:00,2024-01-02 21:33:00,55,33,completed
TR00055,RT002,VH003,2024-01-02 05:51:00,2024-01-02 07:03:00,49,31,completed
TR00056,RT002,VH010,2024-01-02 08:38:00,2024-01-02 09:39:00,49,26,completed
TR00057,RT002,VH003,2024-01-02 11:28:00,2024-01-02 12:26:00,49,24,completed
TR00058,RT002,VH010,2024-01-02 14:09:00,2024-01-02 15:22:00,49,24,completed
TR00059,RT002,VH003,2024-01-02 16:35:00,2024-01-02 17:50:00,49,26,completed
TR00060,RT002,VH017,2024-01-02 19:16:00,2024-01-02 20:21:00,49,25,completed
TR00061,RT003,VH005,2024-01-02 05:55:00,2024-01-02 08:28:00,45,24,completed
TR00062,RT003,VH006,2024-01-02 09:59:00,2024-01-02 12:36:00,45,25,completed
TR00063,RT003,VH006,2024-01-02 14:04:00,2024-01-02 16:27:00,45,22,completed
TR00064,RT003,VH004,2024-01-02 17:59:00,2024-01-02 20:06:00,49,20,completed
TR00065,RT004,VH005,2024-01-02 06:01:00,2024-01-02 07:27:00,45,25,completed
TR00066,RT004,VH006,2024-01-02 09:11:00,2024-01-02 11:04:00,45,31,completed
TR00067,RT004,VH009,2024-01-02 12:28:00,2024-01-02 14:09:00,40,17,completed
TR00068,RT004,VH005,2024-01-02 15:46:00,2024-01-02 17:11:00,45,24,completed
TR00069,RT004,VH006,2024-01-02 18:58:00,2024-01-02 20:27:00,45,24,completed
TR00070,RT005,VH018,2024-01-02 05:54:00,2024-01-02 07:13:00,8,3,completed
TR00071,RT005,VH011,2024-01-02 11:29:00,2024-01-02 12:35:00,12,7,completed
TR00072,RT005,VH011,2024-01-02 16:42:00,2024-01-02 18:01:00,12,8,completed
TR00073,RT006,VH003,2024-01-02 06:05:00,2024-01-02 07:57:00,49,27,completed
TR00074,RT006,VH009,2024-01-02 10:02:00,2024-01-02 11:50:00,40,27,completed
TR00075,RT006,VH010,2024-01-02 13:53:00,2024-01-02 15:30:00,49,20,completed
TR00076,RT006,VH010,2024-01-02 17:52:00,2024-01-02 19:42:00,49,17,completed
TR00077,RT007,VH014,2024-01-02 06:10:00,2024-01-02 07:16:00,8,5,completed
TR00078,RT007,VH015,2024-01-02 11:16:00,2024-01-02 12:25:00,12,4,completed
TR00079,RT007,VH012,2024-01-02 16:45:00,2024-01-02 17:52:00,12,6,completed
TR00080,RT008,VH002,2024-01-02 05:53:00,2024-01-02 06:46:00,55,34,completed
TR00081,RT008,VH001,2024-01-02 08:48:00,2024-01-02 09:45:00,55,23,completed
TR00082,RT008,VH016,2024-01-02 11:28:00,2024-01-02 12:14:00,55,32,completed
TR00083,RT008,VH008,2024-01-02 13:54:00,2024-01-02 14:51:00,40,24,completed
TR00084,RT008,VH016,2024-01-02 16:34:00,2024-01-02 17:22:00,55,31,completed
TR00085,RT008,VH002,2024-01-02 19:20:00,2024-01-02 20:12:00,55,19,completed
TR00086,RT009,VH002,2024-01-02 05:58:00,2024-01-02 07:41:00,55,24,completed
TR00087,RT009,VH006,2024-01-02 11:26:00,2024-01-02 13:26:00,45,19,completed
TR00088,RT009,VH006,2024-01-02 16:47:00,2024-01-02 18:19:00,45,28,completed
TR00089,RT010,VH013,2024-01-02 05:56:00,2024-01-02 06:28:00,8,4,completed
TR00090,RT010,VH011,2024-01-02 09:57:00,2024-01-02 10:31:00,12,8,completed
TR00091,RT010,VH014,2024-01-02 14:06:00,2024-01-02 14:42:00,8,3,completed
TR00092,RT010,VH018,2024-01-02 18:01:00,2024-01-02 18:38:00,8,4,completed
TR00093,RT001,VH016,2024-01-03 06:08:00,2024-01-03 07:17:00,55,32,completed
TR00094,RT001,VH008,2024-01-03 07:59:00,2024-01-03 09:01:00,40,23,completed
TR00095,RT001,VH002,2024-01-03 10:06:00,2024-01-03 11:17:00,55,20,completed
TR00096,RT001,VH002,2024-01-03 12:07:00,2024-01-03 13:12:00,55,27,completed
TR00097,RT001,VH002,2024-01-03 14:00:00,2024-01-03 15:14:00,55,34,completed
TR00098,RT001,VH001,2024-01-03 16:03:00,2024-01-03 17:02:00,55,33,completed
